Age,Ethnicity,Gender,Sexual Orientation,Profession,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q11,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q24,Q25,Q26,Q27,Q28,Q75,Q76,Q77,Q78,Q79,Q81,Q82,Q83,Q84,Q85,Q86,Q52,Q53,Q54,Q55,Q56,Q95,Q96,Q97,Q98,Q99,Q101,Q103,Q104,Q105,Q106,Q100,type_transgression
2,4,2,1,1,2,4,3,4,2,2,2,2,3,4,4,4,4,1,1,1,4,1,,,,,,,,,,,,,,,,,2,1,2,2,2,4,3,3,3,3,4,6,4,4,4,"i dont care about her that much, shes just a person being given a lot of attention because she is a celebrity. i care about the music. if the music is bad i will not support her",0
2,4,2,1,1,3,4,3,5,4,3,2,3,3,4,4,3,3,1,4,4,3,1,4,2,4,2,3,4,2,3,2,2,3,2,3,2,3,"i feel that her actions may not necessarily be her personal opinions but more of how her management decides to handle the situation. as we do not know for sure and it is also easy to shift the blame, we are not sure if she is actually behind all these unpleasant occurrences. ",,,,,,,,,,,,,,,,,1
2,4,2,1,1,1,1,1,4,1,1,1,2,1,2,4,2,1,1,1,1,4,2,,,,,,,,,,,,,,,,,2,1,2,2,1,2,1,2,1,1,6,4,5,4,4,,0
2,1,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,6,6,6,5,6,Taylor Swift's music is everywhere and I just find it a bit annoying. Like there are whole social gatherings themed around Taylor Swift that I might have gone to if they weren't Only playing Taylor Swift music the whole time,0
2,1,2,3,1,5,5,4,5,5,5,4,5,4,3,5,5,5,5,5,5,5,2,5,4,5,2,5,4,4,4,4,4,5,5,5,2,5,I love her and her music too much to stop listening to it and following her activities even when I know she doesn’t always morally behave right. ,,,,,,,,,,,,,,,,,1
2,1,2,2,1,4,4,5,5,5,5,1,4,2,3,5,5,5,4,5,5,5,4,4,2,5,4,5,4,2,5,5,5,2,1,5,4,4,,,,,,,,,,,,,,,,,,1
2,1,2,3,1,4,5,4,5,4,5,3,5,4,3,5,5,5,4,5,5,5,4,,,,,,,,,,,,,,,,,4,2,5,4,4,4,2,5,4,4,8,8,8,7,7,,0
2,1,3,3,1,3,3,2,2,4,1,1,1,1,2,2,1,1,1,1,3,2,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,,0
2,4,1,2,1,3,3,4,4,4,2,2,2,2,1,3,2,4,2,1,4,3,1,4,2,4,2,3,4,3,4,2,3,3,3,4,2,2,,,,,,,,,,,,,,,,,,1
2,4,2,1,1,1,3,2,4,4,1,1,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,3,3,3,3,3,6,6,6,6,6,,0
